Date,Product_ID,Product_Name,Category,Base_Price,Current_Price,Discount,Actual_Price,Competitor_Price,Units_Sold,Inventory,Holiday_Flag,Weekend_Flag,Month,Day_of_Week,Quarter,Revenue,Price_Gap,Price_Gap_Pct,Inventory_Level,Season,Is_Discounted,Price_to_Base_Ratio
2023-02-06,LAPTOP001,Laptop Pro,Laptops,75000,68897.96,0.1,62008.16,62309.4,158,130,0,0,2,0,1,9797289.73,-301.23999999999796,-0.0048345835459817936,Low,Winter,1,0.8267754666666667
2023-02-07,LAPTOP001,Laptop Pro,Laptops,75000,67377.48,0.0,67377.48,87890.93,142,211,0,0,2,1,1,9567602.01,-20513.449999999997,-0.2333966656172599,Medium,Winter,0,0.8983663999999999
2023-02-08,LAPTOP001,Laptop Pro,Laptops,75000,78001.58,0.15,66301.35,86143.82,197,317,0,0,2,2,1,13061365.33,-19842.47,-0.23034118988454425,High,Winter,1,0.8840180000000001
2023-02-09,LAPTOP001,Laptop Pro,Laptops,75000,67947.83,0.1,61153.04,86776.77,201,116,0,0,2,3,1,12291761.78,-25623.730000000003,-0.2952832883731441,Low,Winter,1,0.8153738666666667
2023-02-10,LAPTOP001,Laptop Pro,Laptops,75000,81917.4,0.0,81917.4,86882.74,82,296,0,0,2,4,1,6717227.09,-4965.340000000011,-0.057149901119601096,Medium,Winter,0,1.0922319999999999
2023-02-11,LAPTOP001,Laptop Pro,Laptops,75000,66226.17,0.0,66226.17,66838.05,141,155,0,1,2,5,1,9337889.73,-611.8800000000047,-0.009154665643297562,Medium,Winter,0,0.8830156
2023-02-12,LAPTOP001,Laptop Pro,Laptops,75000,82155.33,0.1,73939.8,85821.92,128,275,0,1,2,6,1,9464294.27,-11882.119999999995,-0.13845087595336944,Medium,Winter,1,0.9858640000000001
2023-02-13,LAPTOP001,Laptop Pro,Laptops,75000,75241.81,0.2,60193.45,72522.33,206,69,0,0,2,0,1,12399851.0,-12328.880000000005,-0.17000115688505876,Low,Winter,1,0.8025793333333333
2023-02-14,LAPTOP001,Laptop Pro,Laptops,75000,66446.97,0.15,56479.93,70128.46,78,358,0,0,2,1,1,4405434.16,-13648.530000000006,-0.1946218411184276,High,Winter,1,0.7530657333333334
2023-02-16,LAPTOP001,Laptop Pro,Laptops,75000,71931.67,0.0,71931.67,89153.46,94,347,0,0,2,3,1,6761576.61,-17221.790000000008,-0.19317018094418328,High,Winter,0,0.9590889333333333
2023-02-17,LAPTOP001,Laptop Pro,Laptops,75000,69415.1,0.0,69415.1,74917.46,112,235,0,0,2,4,1,7774491.39,-5502.360000000001,-0.07344562936330196,Medium,Winter,0,0.9255346666666667
2023-02-18,LAPTOP001,Laptop Pro,Laptops,75000,70158.91,0.15,59635.07,61106.61,236,217,0,1,2,5,1,14073877.57,-1471.5400000000009,-0.024081519167893636,Medium,Winter,1,0.7951342666666666
2023-02-19,LAPTOP001,Laptop Pro,Laptops,75000,75060.28,0.0,75060.28,61544.36,95,122,0,1,2,6,1,7130726.41,13515.919999999998,0.21961265012748524,Low,Winter,0,1.0008037333333333
2023-02-20,LAPTOP001,Laptop Pro,Laptops,75000,84185.98,0.15,71558.09,67186.86,109,258,0,0,2,0,1,7799831.27,4371.229999999996,0.06506078718368437,Medium,Winter,1,0.9541078666666666
2023-02-21,LAPTOP001,Laptop Pro,Laptops,75000,74762.69,0.2,59810.15,89569.51,226,274,0,0,2,1,1,13517093.83,-29759.359999999993,-0.33224877528078467,Medium,Winter,1,0.7974686666666667
2023-02-22,LAPTOP001,Laptop Pro,Laptops,75000,78873.05,0.0,78873.05,82848.59,86,188,0,0,2,2,1,6783082.28,-3975.5399999999936,-0.0479856084454786,Medium,Winter,0,1.0516406666666667
2023-02-23,LAPTOP001,Laptop Pro,Laptops,75000,80134.87,0.2,64107.89,71033.49,195,259,0,0,2,3,1,12501039.38,-6925.600000000006,-0.09749767328058927,Medium,Winter,1,0.8547718666666667
2023-02-24,LAPTOP001,Laptop Pro,Laptops,75000,78004.42,0.2,62403.53,76073.24,186,73,0,0,2,4,1,11607057.47,-13669.710000000006,-0.17969143946018346,Low,Winter,1,0.8320470666666666
2023-02-25,LAPTOP001,Laptop Pro,Laptops,75000,82544.31,0.0,82544.31,69623.4,66,297,0,1,2,5,1,5447924.21,12920.910000000003,0.18558286438180274,Medium,Winter,0,1.1005908
2023-02-26,LAPTOP001,Laptop Pro,Laptops,75000,64667.44,0.0,64667.44,77726.79,171,126,0,1,2,6,1,11058132.36,-13059.349999999991,-0.168016072708007,Low,Winter,0,0.8622325333333334
2023-02-27,LAPTOP001,Laptop Pro,Laptops,75000,64123.23,0.05,60917.06,75362.79,115,362,0,0,2,0,1,7005462.46,-14445.729999999996,-0.19168252661558838,High,Winter,1,0.8122274666666667
2023-02-28,LAPTOP001,Laptop Pro,Laptops,75000,78266.39,0.2,62613.11,65230.99,208,154,0,0,2,1,1,13023526.93,-2617.8799999999974,-0.04013245851396702,Medium,Winter,1,0.8348414666666667
2023-03-01,LAPTOP001,Laptop Pro,Laptops,75000,72451.55,0.0,72451.55,88101.9,103,51,0,0,3,2,1,7462509.17,-15650.349999999991,-0.1776391882581419,Low,Spring,0,0.9660206666666667
2023-03-02,LAPTOP001,Laptop Pro,Laptops,75000,71423.99,0.0,71423.99,63404.21,57,294,0,0,3,3,1,4071167.6,8019.780000000006,0.12648655349542257,Medium,Spring,0,0.9523198666666667
2023-03-03,LAPTOP001,Laptop Pro,Laptops,75000,83490.14,0.0,83490.14,67738.25,76,218,0,0,3,4,1,6345250.29,15751.89,0.2325405513133274,Medium,Spring,0,1.1132018666666668
2023-03-04,LAPTOP001,Laptop Pro,Laptops,75000,82137.5,0.0,82137.5,76656.02,94,124,0,1,3,5,1,7720924.95,5481.479999999996,0.0715074954321917,Low,Spring,0,1.0951666666666666
2023-03-05,LAPTOP001,Laptop Pro,Laptops,75000,69191.68,0.15,58812.93,62793.08,138,268,0,1,3,6,1,8116183.66,-3980.1500000000015,-0.06338516919380291,Medium,Spring,1,0.7841724
2023-03-06,LAPTOP001,Laptop Pro,Laptops,75000,84009.41,0.15,71408.0,78993.04,141,127,0,0,3,0,1,10068527.34,-7585.039999999994,-0.09602162418359889,Low,Spring,1,0.9521066666666667
2023-03-07,LAPTOP001,Laptop Pro,Laptops,75000,71607.22,0.15,60866.13,81778.67,142,365,0,0,3,1,1,8642990.9,-20912.54,-0.2557212045634883,High,Spring,1,0.8115484
2023-03-08,LAPTOP001,Laptop Pro,Laptops,75000,83709.44,0.0,83709.44,83396.27,85,280,0,0,3,2,1,7115302.79,313.16999999999825,0.0037552039197915952,Medium,Spring,0,1.1161258666666667
2023-03-09,LAPTOP001,Laptop Pro,Laptops,75000,65643.15,0.1,59078.83,64848.86,215,65,0,0,3,3,1,12701949.37,-5770.029999999999,-0.08897658339714837,Low,Spring,1,0.7877177333333334
2023-03-10,LAPTOP001,Laptop Pro,Laptops,75000,77394.65,0.15,65785.46,60275.91,57,243,0,0,3,4,1,3749770.98,5509.550000000003,0.09140550511804803,Medium,Spring,1,0.8771394666666668
2023-03-11,LAPTOP001,Laptop Pro,Laptops,75000,78678.79,0.1,70810.91,60151.85,125,118,0,1,3,5,1,8851363.85,10659.060000000005,0.17720252993050098,Low,Spring,1,0.9441454666666668
2023-03-12,LAPTOP001,Laptop Pro,Laptops,75000,76096.51,0.15,64682.03,80756.86,123,262,0,1,3,6,1,7955890.15,-16074.830000000002,-0.19905219197477467,Medium,Spring,1,0.8624270666666667
2023-03-13,LAPTOP001,Laptop Pro,Laptops,75000,68796.06,0.0,68796.06,81365.38,115,147,0,0,3,0,1,7911546.84,-12569.320000000007,-0.1544799520385698,Low,Spring,0,0.9172808
2023-03-14,LAPTOP001,Laptop Pro,Laptops,75000,71071.49,0.05,67517.92,82394.74,151,297,0,0,3,1,1,10195205.7,-14876.820000000007,-0.1805554577877181,Medium,Spring,1,0.9002389333333333
2023-03-15,LAPTOP001,Laptop Pro,Laptops,75000,82857.53,0.0,82857.53,79728.39,83,214,0,0,3,2,1,6877174.72,3129.1399999999994,0.03924750016901131,Medium,Spring,0,1.1047670666666667
2023-03-16,LAPTOP001,Laptop Pro,Laptops,75000,65857.68,0.15,55979.03,71031.47,198,376,0,0,3,3,1,11083847.93,-15052.440000000002,-0.21191226930823764,High,Spring,1,0.7463870666666667
2023-03-17,LAPTOP001,Laptop Pro,Laptops,75000,69239.77,0.1,62315.79,89190.32,186,190,0,0,3,4,1,11590736.99,-26874.530000000006,-0.30131666754867575,Medium,Spring,1,0.8308772
2023-03-18,LAPTOP001,Laptop Pro,Laptops,75000,83821.05,0.0,83821.05,78934.16,99,91,0,1,3,5,1,8298283.7,4886.889999999999,0.061910964783814755,Low,Spring,0,1.117614
2023-03-19,LAPTOP001,Laptop Pro,Laptops,75000,75059.33,0.15,63800.43,77307.12,90,283,0,1,3,6,1,5742039.1,-13506.689999999995,-0.1747146963953643,Medium,Spring,1,0.8506724
2023-03-20,LAPTOP001,Laptop Pro,Laptops,75000,68142.97,0.2,54514.37,81673.56,264,396,0,0,3,0,1,14391794.68,-27159.189999999995,-0.3325334416670462,High,Spring,1,0.7268582666666668
2023-03-22,LAPTOP001,Laptop Pro,Laptops,75000,84910.32,0.0,84910.32,88617.86,91,258,0,0,3,2,1,7726838.95,-3707.5399999999936,-0.041837390340953774,Medium,Spring,0,1.1321376
2023-03-23,LAPTOP001,Laptop Pro,Laptops,75000,72078.57,0.2,57662.86,60463.7,259,208,0,0,3,3,1,14934679.86,-2800.8399999999965,-0.0463226696348387,Medium,Spring,1,0.7688381333333334
2023-03-24,LAPTOP001,Laptop Pro,Laptops,75000,73384.14,0.2,58707.31,88999.64,236,280,0,0,3,4,1,13854926.26,-30292.33,-0.34036463518279403,Medium,Spring,1,0.7827641333333333
2023-03-25,LAPTOP001,Laptop Pro,Laptops,75000,82942.71,0.05,78795.58,68833.47,103,177,0,1,3,5,1,8115944.44,9962.11,0.1447277029619457,Medium,Spring,1,1.0506077333333335
2023-03-26,LAPTOP001,Laptop Pro,Laptops,75000,82900.58,0.0,82900.58,69507.66,78,99,0,1,3,6,1,6466244.86,13392.919999999998,0.19268264821459963,Low,Spring,0,1.1053410666666668
2023-03-27,LAPTOP001,Laptop Pro,Laptops,75000,76278.03,0.0,76278.03,88084.64,104,254,0,0,3,0,1,7932914.95,-11806.61,-0.13403710340418035,Medium,Spring,0,1.0170404
2023-03-28,LAPTOP001,Laptop Pro,Laptops,75000,76576.38,0.1,68918.74,62915.29,137,117,0,0,3,1,1,9441867.2,6003.450000000004,0.09542116073851054,Low,Spring,1,0.9189165333333335
2023-03-29,LAPTOP001,Laptop Pro,Laptops,75000,86026.21,0.15,73122.28,64202.52,117,280,0,0,3,2,1,8555306.75,8919.760000000002,0.13893161826046707,Medium,Spring,1,0.9749637333333333
2023-03-30,LAPTOP001,Laptop Pro,Laptops,75000,83490.89,0.0,83490.89,82223.06,86,194,0,0,3,3,1,7180216.89,1267.8300000000017,0.015419396942901441,Medium,Spring,0,1.1132118666666666
2023-03-31,LAPTOP001,Laptop Pro,Laptops,75000,79555.89,0.15,67622.51,70784.73,150,327,0,0,3,4,1,10143376.22,-3162.220000000001,-0.04467375943935933,High,Spring,1,0.9016334666666665
2023-04-01,LAPTOP001,Laptop Pro,Laptops,75000,81960.63,0.05,77862.59,84303.4,136,191,0,1,4,5,2,10589312.88,-6440.809999999998,-0.07640035870439386,Medium,Spring,1,1.0381678666666667
2023-04-02,LAPTOP001,Laptop Pro,Laptops,75000,84297.91,0.15,71653.23,75340.27,166,317,0,1,4,6,2,11894435.44,-3687.040000000008,-0.0489385026095607,High,Spring,1,0.9553763999999999
2023-04-03,LAPTOP001,Laptop Pro,Laptops,75000,81711.64,0.0,81711.64,79498.92,89,228,0,0,4,0,2,7272336.1,2212.720000000001,0.02783333408806058,Medium,Spring,0,1.0894885333333333
2023-04-04,LAPTOP001,Laptop Pro,Laptops,75000,81655.34,0.0,81655.34,86700.16,84,144,0,0,4,1,2,6859048.15,-5044.820000000007,-0.05818697451077376,Low,Spring,0,1.0887378666666667
2023-04-05,LAPTOP001,Laptop Pro,Laptops,75000,72200.62,0.0,72200.62,62819.46,101,263,0,0,4,2,2,7292262.26,9381.159999999996,0.14933525375735474,Medium,Spring,0,0.9626749333333333
2023-04-06,LAPTOP001,Laptop Pro,Laptops,75000,64558.7,0.15,54874.9,73967.94,260,343,0,0,4,3,2,14267472.96,-19093.04,-0.25812588534978803,High,Spring,1,0.7316653333333334
2023-04-07,LAPTOP001,Laptop Pro,Laptops,75000,70197.18,0.1,63177.46,77725.0,153,190,0,0,4,4,2,9666151.43,-14547.54,-0.18716680604696045,Medium,Spring,1,0.8423661333333333
2023-04-08,LAPTOP001,Laptop Pro,Laptops,75000,64590.33,0.0,64590.33,84678.02,161,391,0,1,4,5,2,10399043.81,-20087.690000000002,-0.23722437062179774,High,Spring,0,0.8612044
2023-04-09,LAPTOP001,Laptop Pro,Laptops,75000,66608.86,0.1,59947.98,75667.3,246,145,0,1,4,6,2,14747201.94,-15719.32,-0.20774257836608415,Low,Spring,1,0.7993064000000001
2023-04-10,LAPTOP001,Laptop Pro,Laptops,75000,68605.97,0.05,65175.67,78686.71,126,349,0,0,4,0,2,8212134.98,-13511.040000000008,-0.17170675962942164,High,Spring,1,0.8690089333333333
2023-04-11,LAPTOP001,Laptop Pro,Laptops,75000,64912.84,0.05,61667.2,75940.64,173,176,0,0,4,1,2,10668425.04,-14273.440000000002,-0.18795522397493625,Medium,Spring,1,0.8222293333333333
2023-04-12,LAPTOP001,Laptop Pro,Laptops,75000,78092.17,0.0,78092.17,81782.74,108,68,0,0,4,2,2,8433954.66,-3690.570000000007,-0.04512651446992369,Low,Spring,0,1.0412289333333333
2023-04-13,LAPTOP001,Laptop Pro,Laptops,75000,75366.76,0.0,75366.76,69688.69,74,235,0,0,4,3,2,5577140.08,5678.069999999992,0.0814776400589535,Medium,Spring,0,1.0048901333333333
2023-04-14,LAPTOP001,Laptop Pro,Laptops,75000,69843.73,0.1,62859.35,73169.14,154,81,0,0,4,4,2,9680340.38,-10309.79,-0.14090352845475568,Low,Spring,1,0.8381246666666666
2023-04-15,LAPTOP001,Laptop Pro,Laptops,75000,64320.39,0.05,61104.37,88879.45,89,223,0,1,4,5,2,5438289.12,-27775.079999999994,-0.31250283389467415,Medium,Spring,1,0.8147249333333334
2023-04-16,LAPTOP001,Laptop Pro,Laptops,75000,79409.42,0.2,63527.54,72268.59,201,212,0,1,4,6,2,12769034.68,-8741.049999999996,-0.12095226985886948,Medium,Spring,1,0.8470338666666667
2023-04-17,LAPTOP001,Laptop Pro,Laptops,75000,67269.83,0.2,53815.87,67507.29,215,228,0,0,4,0,2,11570411.36,-13691.419999999991,-0.20281394794547364,Medium,Spring,1,0.7175449333333334
2023-04-18,LAPTOP001,Laptop Pro,Laptops,75000,79828.41,0.0,79828.41,79805.92,83,145,0,0,4,1,2,6625757.89,22.49000000000524,0.00028180866782821675,Low,Spring,0,1.0643788
2023-04-19,LAPTOP001,Laptop Pro,Laptops,75000,85234.47,0.15,72449.3,82136.91,147,240,0,0,4,2,2,10650046.88,-9687.61,-0.11794466093258195,Medium,Spring,1,0.9659906666666667
2023-04-20,LAPTOP001,Laptop Pro,Laptops,75000,77513.72,0.2,62010.97,72588.0,195,374,0,0,4,3,2,12092139.82,-10577.029999999999,-0.1457132032842894,High,Spring,1,0.8268129333333334
2023-04-21,LAPTOP001,Laptop Pro,Laptops,75000,71759.39,0.05,68171.42,82735.38,121,253,0,0,4,4,2,8248741.34,-14563.960000000006,-0.17603061713138932,Medium,Spring,1,0.9089522666666666
2023-04-22,LAPTOP001,Laptop Pro,Laptops,75000,66361.63,0.1,59725.47,61380.08,181,72,0,1,4,5,2,10810310.25,-1654.6100000000006,-0.026956791193494707,Low,Spring,1,0.7963396
2023-04-23,LAPTOP001,Laptop Pro,Laptops,75000,82997.86,0.0,82997.86,81109.74,71,298,0,1,4,6,2,5892848.28,1888.1199999999953,0.023278585284578587,Medium,Spring,0,1.1066381333333333
2023-04-24,LAPTOP001,Laptop Pro,Laptops,75000,65951.27,0.05,62653.71,74748.48,163,135,0,0,4,0,2,10212553.94,-12094.769999999997,-0.1618062333842775,Low,Spring,1,0.8353828
2023-04-25,LAPTOP001,Laptop Pro,Laptops,75000,67647.04,0.1,60882.34,73015.55,130,319,0,0,4,1,2,7914703.92,-12133.210000000006,-0.16617295904776455,High,Spring,1,0.8117645333333333
2023-04-26,LAPTOP001,Laptop Pro,Laptops,75000,77606.63,0.1,69845.96,79052.81,124,195,0,0,4,2,2,8660899.6,-9206.849999999991,-0.11646455072248528,Medium,Spring,1,0.9312794666666667
2023-04-27,LAPTOP001,Laptop Pro,Laptops,75000,72178.78,0.0,72178.78,78775.8,111,84,0,0,4,3,2,8011845.01,-6597.020000000004,-0.08374424632945655,Low,Spring,0,0.9623837333333333
2023-04-28,LAPTOP001,Laptop Pro,Laptops,75000,83021.02,0.1,74718.92,79760.81,75,202,0,0,4,4,2,5603918.95,-5041.889999999999,-0.06321262284071588,Medium,Spring,1,0.9962522666666667
2023-04-29,LAPTOP001,Laptop Pro,Laptops,75000,65337.8,0.15,55537.13,79272.58,173,384,0,1,4,5,2,9607923.02,-23735.450000000004,-0.29941563652904957,High,Spring,1,0.7404950666666666
2023-04-30,LAPTOP001,Laptop Pro,Laptops,75000,76929.95,0.0,76929.95,88206.91,119,265,0,1,4,6,2,9154664.12,-11276.960000000006,-0.12784667323682472,Medium,Spring,0,1.0257326666666666
2023-05-01,LAPTOP001,Laptop Pro,Laptops,75000,72483.82,0.15,61611.25,79298.65,203,62,0,0,5,0,2,12507083.72,-17687.399999999994,-0.2230479333506938,Low,Spring,1,0.8214833333333333
2023-05-02,LAPTOP001,Laptop Pro,Laptops,75000,76026.38,0.1,68423.74,88243.94,59,392,0,0,5,1,2,4037000.66,-19820.199999999997,-0.22460692484945705,High,Spring,1,0.9123165333333334
2023-05-03,LAPTOP001,Laptop Pro,Laptops,75000,85376.79,0.0,85376.79,87160.52,72,320,0,0,5,2,2,6147128.71,-1783.7300000000105,-0.02046488478958146,High,Spring,0,1.1383572
2023-05-04,LAPTOP001,Laptop Pro,Laptops,75000,65310.63,0.2,52248.5,63023.34,249,71,0,0,5,3,2,13009877.35,-10774.839999999997,-0.17096586756588902,Low,Spring,1,0.6966466666666666
2023-05-05,LAPTOP001,Laptop Pro,Laptops,75000,65874.97,0.15,55993.72,80490.2,61,287,0,0,5,4,2,3415617.02,-24496.479999999996,-0.3043411496057905,Medium,Spring,1,0.7465829333333334
2023-05-06,LAPTOP001,Laptop Pro,Laptops,75000,70926.95,0.0,70926.95,85346.26,118,169,0,1,5,5,2,8369380.3,-14419.309999999998,-0.1689506956719603,Medium,Spring,0,0.9456926666666666
2023-05-07,LAPTOP001,Laptop Pro,Laptops,75000,82075.54,0.0,82075.54,68455.64,77,92,0,1,5,6,2,6319816.65,13619.899999999994,0.1989595013646793,Low,Spring,0,1.0943405333333331
2023-05-08,LAPTOP001,Laptop Pro,Laptops,75000,79426.59,0.05,75455.26,78868.29,102,240,0,0,5,0,2,7696436.2,-3413.029999999999,-0.04327506023016347,Medium,Spring,1,1.0060701333333333
2023-05-09,LAPTOP001,Laptop Pro,Laptops,75000,80289.1,0.05,76274.64,84104.43,104,136,0,0,5,1,2,7932562.93,-7829.789999999994,-0.09309604737824148,Low,Spring,1,1.0169952
2023-05-10,LAPTOP001,Laptop Pro,Laptops,75000,67742.39,0.0,67742.39,82518.44,142,384,0,0,5,2,2,9619419.34,-14776.050000000003,-0.1790636129330608,High,Spring,0,0.9032318666666667
2023-05-11,LAPTOP001,Laptop Pro,Laptops,75000,86036.37,0.15,73130.91,72378.53,130,254,0,0,5,3,2,9507018.41,752.3800000000047,0.010395071577165281,Medium,Spring,1,0.9750788
