Date,Product_ID,Product_Name,Category,Base_Price,Current_Price,Discount,Actual_Price,Competitor_Price,Units_Sold,Inventory,Holiday_Flag,Weekend_Flag,Month,Day_of_Week,Quarter,Revenue
2023-02-01,LAPTOP001,Laptop Pro,Laptops,75000,76378.74,0.0,76378.74,83129.02,100,186,0,0,2,2,1,7637873.69
2023-02-02,LAPTOP001,Laptop Pro,Laptops,75000,75511.49,0.0,75511.49,72826.23,83,103,0,0,2,3,1,6267453.56
2023-02-03,LAPTOP001,Laptop Pro,Laptops,75000,66177.56,0.05,62868.68,60942.88,107,224,0,0,2,4,1,6726948.68
2023-02-04,LAPTOP001,Laptop Pro,Laptops,75000,70823.01,0.0,70823.01,75257.12,147,77,0,1,2,5,1,10410982.41
2023-02-05,LAPTOP001,Laptop Pro,Laptops,75000,69359.08,0.2,55487.26,72311.49,82,288,0,1,2,6,1,4549955.33
2023-02-06,LAPTOP001,Laptop Pro,Laptops,75000,68897.96,0.1,62008.16,62309.4,158,130,0,0,2,0,1,9797289.73
2023-02-07,LAPTOP001,Laptop Pro,Laptops,75000,67377.48,0.0,67377.48,87890.93,142,211,0,0,2,1,1,9567602.01
2023-02-08,LAPTOP001,Laptop Pro,Laptops,75000,78001.58,0.15,66301.35,86143.82,197,317,0,0,2,2,1,13061365.33
2023-02-09,LAPTOP001,Laptop Pro,Laptops,75000,67947.83,0.1,61153.04,86776.77,201,116,0,0,2,3,1,12291761.78
2023-02-10,LAPTOP001,Laptop Pro,Laptops,75000,81917.4,0.0,81917.4,86882.74,82,296,0,0,2,4,1,6717227.09
2023-02-11,LAPTOP001,Laptop Pro,Laptops,75000,66226.17,0.0,66226.17,66838.05,141,155,0,1,2,5,1,9337889.73
2023-02-12,LAPTOP001,Laptop Pro,Laptops,75000,82155.33,0.1,73939.8,85821.92,128,275,0,1,2,6,1,9464294.27
2023-02-13,LAPTOP001,Laptop Pro,Laptops,75000,75241.81,0.2,60193.45,72522.33,206,69,0,0,2,0,1,12399851.0
2023-02-14,LAPTOP001,Laptop Pro,Laptops,75000,66446.97,0.15,56479.93,70128.46,78,358,0,0,2,1,1,4405434.16
2023-02-15,LAPTOP001,Laptop Pro,Laptops,75000,71022.07,0.2,56817.65,75563.72,275,83,0,0,2,2,1,15624854.51
2023-02-16,LAPTOP001,Laptop Pro,Laptops,75000,71931.67,0.0,71931.67,89153.46,94,347,0,0,2,3,1,6761576.61
2023-02-17,LAPTOP001,Laptop Pro,Laptops,75000,69415.1,0.0,69415.1,74917.46,112,235,0,0,2,4,1,7774491.39
2023-02-18,LAPTOP001,Laptop Pro,Laptops,75000,70158.91,0.15,59635.07,61106.61,236,217,0,1,2,5,1,14073877.57
2023-02-19,LAPTOP001,Laptop Pro,Laptops,75000,75060.28,0.0,75060.28,61544.36,95,122,0,1,2,6,1,7130726.41
2023-02-20,LAPTOP001,Laptop Pro,Laptops,75000,84185.98,0.15,71558.09,67186.86,109,258,0,0,2,0,1,7799831.27
2023-02-21,LAPTOP001,Laptop Pro,Laptops,75000,74762.69,0.2,59810.15,89569.51,226,274,0,0,2,1,1,13517093.83
2023-02-22,LAPTOP001,Laptop Pro,Laptops,75000,78873.05,0.0,78873.05,82848.59,86,188,0,0,2,2,1,6783082.28
2023-02-23,LAPTOP001,Laptop Pro,Laptops,75000,80134.87,0.2,64107.89,71033.49,195,259,0,0,2,3,1,12501039.38
2023-02-24,LAPTOP001,Laptop Pro,Laptops,75000,78004.42,0.2,62403.53,76073.24,186,73,0,0,2,4,1,11607057.47
2023-02-25,LAPTOP001,Laptop Pro,Laptops,75000,82544.31,0.0,82544.31,69623.4,66,297,0,1,2,5,1,5447924.21
2023-02-26,LAPTOP001,Laptop Pro,Laptops,75000,64667.44,0.0,64667.44,77726.79,171,126,0,1,2,6,1,11058132.36
2023-02-27,LAPTOP001,Laptop Pro,Laptops,75000,64123.23,0.05,60917.06,75362.79,115,362,0,0,2,0,1,7005462.46
2023-02-28,LAPTOP001,Laptop Pro,Laptops,75000,78266.39,0.2,62613.11,65230.99,208,154,0,0,2,1,1,13023526.93
2023-03-01,LAPTOP001,Laptop Pro,Laptops,75000,72451.55,0.0,72451.55,88101.9,103,51,0,0,3,2,1,7462509.17
2023-03-02,LAPTOP001,Laptop Pro,Laptops,75000,71423.99,0.0,71423.99,63404.21,57,294,0,0,3,3,1,4071167.6
2023-03-03,LAPTOP001,Laptop Pro,Laptops,75000,83490.14,0.0,83490.14,67738.25,76,218,0,0,3,4,1,6345250.29
2023-03-04,LAPTOP001,Laptop Pro,Laptops,75000,82137.5,0.0,82137.5,76656.02,94,124,0,1,3,5,1,7720924.95
2023-03-05,LAPTOP001,Laptop Pro,Laptops,75000,69191.68,0.15,58812.93,62793.08,138,268,0,1,3,6,1,8116183.66
2023-03-06,LAPTOP001,Laptop Pro,Laptops,75000,84009.41,0.15,71408.0,78993.04,141,127,0,0,3,0,1,10068527.34
2023-03-07,LAPTOP001,Laptop Pro,Laptops,75000,71607.22,0.15,60866.13,81778.67,142,365,0,0,3,1,1,8642990.9
2023-03-08,LAPTOP001,Laptop Pro,Laptops,75000,83709.44,0.0,83709.44,83396.27,85,280,0,0,3,2,1,7115302.79
2023-03-09,LAPTOP001,Laptop Pro,Laptops,75000,65643.15,0.1,59078.83,64848.86,215,65,0,0,3,3,1,12701949.37
2023-03-10,LAPTOP001,Laptop Pro,Laptops,75000,77394.65,0.15,65785.46,60275.91,57,243,0,0,3,4,1,3749770.98
2023-03-11,LAPTOP001,Laptop Pro,Laptops,75000,78678.79,0.1,70810.91,60151.85,125,118,0,1,3,5,1,8851363.85
2023-03-12,LAPTOP001,Laptop Pro,Laptops,75000,76096.51,0.15,64682.03,80756.86,123,262,0,1,3,6,1,7955890.15
2023-03-13,LAPTOP001,Laptop Pro,Laptops,75000,68796.06,0.0,68796.06,81365.38,115,147,0,0,3,0,1,7911546.84
2023-03-14,LAPTOP001,Laptop Pro,Laptops,75000,71071.49,0.05,67517.92,82394.74,151,297,0,0,3,1,1,10195205.7
2023-03-15,LAPTOP001,Laptop Pro,Laptops,75000,82857.53,0.0,82857.53,79728.39,83,214,0,0,3,2,1,6877174.72
2023-03-16,LAPTOP001,Laptop Pro,Laptops,75000,65857.68,0.15,55979.03,71031.47,198,376,0,0,3,3,1,11083847.93
2023-03-17,LAPTOP001,Laptop Pro,Laptops,75000,69239.77,0.1,62315.79,89190.32,186,190,0,0,3,4,1,11590736.99
2023-03-18,LAPTOP001,Laptop Pro,Laptops,75000,83821.05,0.0,83821.05,78934.16,99,91,0,1,3,5,1,8298283.7
2023-03-19,LAPTOP001,Laptop Pro,Laptops,75000,75059.33,0.15,63800.43,77307.12,90,283,0,1,3,6,1,5742039.1
2023-03-20,LAPTOP001,Laptop Pro,Laptops,75000,68142.97,0.2,54514.37,81673.56,264,396,0,0,3,0,1,14391794.68
2023-03-21,LAPTOP001,Laptop Pro,Laptops,75000,64297.11,0.2,51437.69,79364.17,293,103,0,0,3,1,1,15071242.41
2023-03-22,LAPTOP001,Laptop Pro,Laptops,75000,84910.32,0.0,84910.32,88617.86,91,258,0,0,3,2,1,7726838.95
2023-03-23,LAPTOP001,Laptop Pro,Laptops,75000,72078.57,0.2,57662.86,60463.7,259,208,0,0,3,3,1,14934679.86
2023-03-24,LAPTOP001,Laptop Pro,Laptops,75000,73384.14,0.2,58707.31,88999.64,236,280,0,0,3,4,1,13854926.26
2023-03-25,LAPTOP001,Laptop Pro,Laptops,75000,82942.71,0.05,78795.58,68833.47,103,177,0,1,3,5,1,8115944.44
2023-03-26,LAPTOP001,Laptop Pro,Laptops,75000,82900.58,0.0,82900.58,69507.66,78,99,0,1,3,6,1,6466244.86
2023-03-27,LAPTOP001,Laptop Pro,Laptops,75000,76278.03,0.0,76278.03,88084.64,104,254,0,0,3,0,1,7932914.95
2023-03-28,LAPTOP001,Laptop Pro,Laptops,75000,76576.38,0.1,68918.74,62915.29,137,117,0,0,3,1,1,9441867.2
2023-03-29,LAPTOP001,Laptop Pro,Laptops,75000,86026.21,0.15,73122.28,64202.52,117,280,0,0,3,2,1,8555306.75
2023-03-30,LAPTOP001,Laptop Pro,Laptops,75000,83490.89,0.0,83490.89,82223.06,86,194,0,0,3,3,1,7180216.89
2023-03-31,LAPTOP001,Laptop Pro,Laptops,75000,79555.89,0.15,67622.51,70784.73,150,327,0,0,3,4,1,10143376.22
2023-04-01,LAPTOP001,Laptop Pro,Laptops,75000,81960.63,0.05,77862.59,84303.4,136,191,0,1,4,5,2,10589312.88
2023-04-02,LAPTOP001,Laptop Pro,Laptops,75000,84297.91,0.15,71653.23,75340.27,166,317,0,1,4,6,2,11894435.44
2023-04-03,LAPTOP001,Laptop Pro,Laptops,75000,81711.64,0.0,81711.64,79498.92,89,228,0,0,4,0,2,7272336.1
2023-04-04,LAPTOP001,Laptop Pro,Laptops,75000,81655.34,0.0,81655.34,86700.16,84,144,0,0,4,1,2,6859048.15
2023-04-05,LAPTOP001,Laptop Pro,Laptops,75000,72200.62,0.0,72200.62,62819.46,101,263,0,0,4,2,2,7292262.26
2023-04-06,LAPTOP001,Laptop Pro,Laptops,75000,64558.7,0.15,54874.9,73967.94,260,343,0,0,4,3,2,14267472.96
2023-04-07,LAPTOP001,Laptop Pro,Laptops,75000,70197.18,0.1,63177.46,77725.0,153,190,0,0,4,4,2,9666151.43
2023-04-08,LAPTOP001,Laptop Pro,Laptops,75000,64590.33,0.0,64590.33,84678.02,161,391,0,1,4,5,2,10399043.81
2023-04-09,LAPTOP001,Laptop Pro,Laptops,75000,66608.86,0.1,59947.98,75667.3,246,145,0,1,4,6,2,14747201.94
2023-04-10,LAPTOP001,Laptop Pro,Laptops,75000,68605.97,0.05,65175.67,78686.71,126,349,0,0,4,0,2,8212134.98
2023-04-11,LAPTOP001,Laptop Pro,Laptops,75000,64912.84,0.05,61667.2,75940.64,173,176,0,0,4,1,2,10668425.04
2023-04-12,LAPTOP001,Laptop Pro,Laptops,75000,78092.17,0.0,78092.17,81782.74,108,68,0,0,4,2,2,8433954.66
2023-04-13,LAPTOP001,Laptop Pro,Laptops,75000,75366.76,0.0,75366.76,69688.69,74,235,0,0,4,3,2,5577140.08
2023-04-14,LAPTOP001,Laptop Pro,Laptops,75000,69843.73,0.1,62859.35,73169.14,154,81,0,0,4,4,2,9680340.38
2023-04-15,LAPTOP001,Laptop Pro,Laptops,75000,64320.39,0.05,61104.37,88879.45,89,223,0,1,4,5,2,5438289.12
2023-04-16,LAPTOP001,Laptop Pro,Laptops,75000,79409.42,0.2,63527.54,72268.59,201,212,0,1,4,6,2,12769034.68
2023-04-17,LAPTOP001,Laptop Pro,Laptops,75000,67269.83,0.2,53815.87,67507.29,215,228,0,0,4,0,2,11570411.36
2023-04-18,LAPTOP001,Laptop Pro,Laptops,75000,79828.41,0.0,79828.41,79805.92,83,145,0,0,4,1,2,6625757.89
2023-04-19,LAPTOP001,Laptop Pro,Laptops,75000,85234.47,0.15,72449.3,82136.91,147,240,0,0,4,2,2,10650046.88
2023-04-20,LAPTOP001,Laptop Pro,Laptops,75000,77513.72,0.2,62010.97,72588.0,195,374,0,0,4,3,2,12092139.82
2023-04-21,LAPTOP001,Laptop Pro,Laptops,75000,71759.39,0.05,68171.42,82735.38,121,253,0,0,4,4,2,8248741.34
2023-04-22,LAPTOP001,Laptop Pro,Laptops,75000,66361.63,0.1,59725.47,61380.08,181,72,0,1,4,5,2,10810310.25
2023-04-23,LAPTOP001,Laptop Pro,Laptops,75000,82997.86,0.0,82997.86,81109.74,71,298,0,1,4,6,2,5892848.28
2023-04-24,LAPTOP001,Laptop Pro,Laptops,75000,65951.27,0.05,62653.71,74748.48,163,135,0,0,4,0,2,10212553.94
2023-04-25,LAPTOP001,Laptop Pro,Laptops,75000,67647.04,0.1,60882.34,73015.55,130,319,0,0,4,1,2,7914703.92
2023-04-26,LAPTOP001,Laptop Pro,Laptops,75000,77606.63,0.1,69845.96,79052.81,124,195,0,0,4,2,2,8660899.6
2023-04-27,LAPTOP001,Laptop Pro,Laptops,75000,72178.78,0.0,72178.78,78775.8,111,84,0,0,4,3,2,8011845.01
2023-04-28,LAPTOP001,Laptop Pro,Laptops,75000,83021.02,0.1,74718.92,79760.81,75,202,0,0,4,4,2,5603918.95
2023-04-29,LAPTOP001,Laptop Pro,Laptops,75000,65337.8,0.15,55537.13,79272.58,173,384,0,1,4,5,2,9607923.02
2023-04-30,LAPTOP001,Laptop Pro,Laptops,75000,76929.95,0.0,76929.95,88206.91,119,265,0,1,4,6,2,9154664.12
2023-05-01,LAPTOP001,Laptop Pro,Laptops,75000,72483.82,0.15,61611.25,79298.65,203,62,0,0,5,0,2,12507083.72
2023-05-02,LAPTOP001,Laptop Pro,Laptops,75000,76026.38,0.1,68423.74,88243.94,59,392,0,0,5,1,2,4037000.66
2023-05-03,LAPTOP001,Laptop Pro,Laptops,75000,85376.79,0.0,85376.79,87160.52,72,320,0,0,5,2,2,6147128.71
2023-05-04,LAPTOP001,Laptop Pro,Laptops,75000,65310.63,0.2,52248.5,63023.34,249,71,0,0,5,3,2,13009877.35
2023-05-05,LAPTOP001,Laptop Pro,Laptops,75000,65874.97,0.15,55993.72,80490.2,61,287,0,0,5,4,2,3415617.02
2023-05-06,LAPTOP001,Laptop Pro,Laptops,75000,70926.95,0.0,70926.95,85346.26,118,169,0,1,5,5,2,8369380.3
2023-05-07,LAPTOP001,Laptop Pro,Laptops,75000,82075.54,0.0,82075.54,68455.64,77,92,0,1,5,6,2,6319816.65
2023-05-08,LAPTOP001,Laptop Pro,Laptops,75000,79426.59,0.05,75455.26,78868.29,102,240,0,0,5,0,2,7696436.2
2023-05-09,LAPTOP001,Laptop Pro,Laptops,75000,80289.1,0.05,76274.64,84104.43,104,136,0,0,5,1,2,7932562.93
2023-05-10,LAPTOP001,Laptop Pro,Laptops,75000,67742.39,0.0,67742.39,82518.44,142,384,0,0,5,2,2,9619419.34
2023-05-11,LAPTOP001,Laptop Pro,Laptops,75000,86036.37,0.15,73130.91,72378.53,130,254,0,0,5,3,2,9507018.41
2023-05-12,LAPTOP001,Laptop Pro,Laptops,75000,81219.29,0.0,81219.29,70224.11,90,164,0,0,5,4,2,7309736.25
2023-05-13,LAPTOP001,Laptop Pro,Laptops,75000,83064.29,0.1,74757.86,72869.82,147,395,0,1,5,5,2,10989405.16
2023-05-14,LAPTOP001,Laptop Pro,Laptops,75000,80727.21,0.0,80727.21,63093.72,97,298,0,1,5,6,2,7830539.82
2023-05-15,LAPTOP001,Laptop Pro,Laptops,75000,75118.18,0.1,67606.36,84793.72,150,148,0,0,5,0,2,10140954.08
2023-05-16,LAPTOP001,Laptop Pro,Laptops,75000,83899.27,0.0,83899.27,71676.05,63,85,0,0,5,1,2,5285654.18
2023-05-17,LAPTOP001,Laptop Pro,Laptops,75000,84121.09,0.2,67296.88,62738.6,80,360,0,0,5,2,2,5383750.05
2023-05-18,LAPTOP001,Laptop Pro,Laptops,75000,85126.39,0.0,85126.39,88518.21,82,278,0,0,5,3,2,6980364.33
2023-05-19,LAPTOP001,Laptop Pro,Laptops,75000,77966.34,0.2,62373.07,73453.37,196,82,0,0,5,4,2,12225121.68
2023-05-20,LAPTOP001,Laptop Pro,Laptops,75000,71144.95,0.15,60473.21,80175.55,88,329,0,1,5,5,2,5321642.43
2023-05-21,LAPTOP001,Laptop Pro,Laptops,75000,81560.53,0.1,73404.48,83688.54,133,196,0,1,5,6,2,9762795.26
2023-05-22,LAPTOP001,Laptop Pro,Laptops,75000,74874.46,0.0,74874.46,61726.76,90,106,0,0,5,0,2,6738701.12
2023-05-23,LAPTOP001,Laptop Pro,Laptops,75000,73684.44,0.0,73684.44,86631.13,101,295,0,0,5,1,2,7442128.06
2023-05-24,LAPTOP001,Laptop Pro,Laptops,75000,66384.01,0.2,53107.21,64289.75,305,241,0,0,5,2,2,16197697.92
2023-05-25,LAPTOP001,Laptop Pro,Laptops,75000,77659.91,0.1,69893.92,63033.68,112,129,0,0,5,3,2,7828118.57
2023-05-26,LAPTOP001,Laptop Pro,Laptops,75000,79521.81,0.2,63617.44,62182.89,141,335,0,0,5,4,2,8970059.66
2023-05-27,LAPTOP001,Laptop Pro,Laptops,75000,79640.45,0.0,79640.45,62440.46,77,258,0,1,5,5,2,6132314.66
2023-05-28,LAPTOP001,Laptop Pro,Laptops,75000,85949.39,0.1,77354.45,71228.12,120,138,0,1,5,6,2,9282534.18
2023-05-29,LAPTOP001,Laptop Pro,Laptops,75000,82037.99,0.0,82037.99,88417.46,101,325,0,0,5,0,2,8285837.02
2023-05-30,LAPTOP001,Laptop Pro,Laptops,75000,80701.01,0.0,80701.01,71287.79,71,254,0,0,5,1,2,5729771.65
2023-05-31,LAPTOP001,Laptop Pro,Laptops,75000,81235.81,0.0,81235.81,76752.13,82,172,0,0,5,2,2,6661336.06
2023-06-01,LAPTOP001,Laptop Pro,Laptops,75000,84142.97,0.0,84142.97,63335.92,67,105,0,0,6,3,2,5637579.24
2023-06-02,LAPTOP001,Laptop Pro,Laptops,75000,64005.46,0.2,51204.37,74059.82,91,278,0,0,6,4,2,4659597.27
2023-06-03,LAPTOP001,Laptop Pro,Laptops,75000,66423.4,0.0,66423.4,63525.79,146,132,0,1,6,5,2,9697816.85
2023-06-04,LAPTOP001,Laptop Pro,Laptops,75000,80536.01,0.0,80536.01,77501.06,112,261,0,1,6,6,2,9020033.1
2023-06-05,LAPTOP001,Laptop Pro,Laptops,75000,72184.59,0.1,64966.13,68571.36,177,84,0,0,6,0,2,11499004.87
2023-06-06,LAPTOP001,Laptop Pro,Laptops,75000,68780.91,0.0,68780.91,88896.68,71,221,0,0,6,1,2,4883444.35
2023-06-07,LAPTOP001,Laptop Pro,Laptops,75000,85572.27,0.15,72736.43,61294.8,139,82,0,0,6,2,2,10110364.13
2023-06-08,LAPTOP001,Laptop Pro,Laptops,75000,75623.27,0.05,71842.11,89788.94,71,217,0,0,6,3,2,5100789.9
2023-06-09,LAPTOP001,Laptop Pro,Laptops,75000,76211.72,0.2,60969.38,89079.08,218,336,0,0,6,4,2,13291324.21
2023-06-10,LAPTOP001,Laptop Pro,Laptops,75000,77911.47,0.2,62329.18,80872.46,246,90,0,1,6,5,2,15332977.17
2023-06-11,LAPTOP001,Laptop Pro,Laptops,75000,77870.06,0.0,77870.06,77529.43,100,232,0,1,6,6,2,7787005.68
2023-06-12,LAPTOP001,Laptop Pro,Laptops,75000,64772.54,0.15,55056.66,68428.9,263,321,0,0,6,0,2,14479902.11
2023-06-13,LAPTOP001,Laptop Pro,Laptops,75000,83780.94,0.1,75402.84,73669.7,121,200,0,0,6,1,2,9123743.84
2023-06-14,LAPTOP001,Laptop Pro,Laptops,75000,69991.08,0.0,69991.08,65643.63,108,92,0,0,6,2,2,7559036.27
2023-06-15,LAPTOP001,Laptop Pro,Laptops,75000,71700.43,0.0,71700.43,77509.68,80,335,0,0,6,3,2,5736034.01
2023-06-16,LAPTOP001,Laptop Pro,Laptops,75000,85673.88,0.2,68539.11,89586.32,194,141,0,0,6,4,2,13296586.67
2023-06-17,LAPTOP001,Laptop Pro,Laptops,75000,75812.17,0.1,68230.95,69285.83,154,308,0,1,6,5,2,10507566.52
2023-06-18,LAPTOP001,Laptop Pro,Laptops,75000,79156.45,0.0,79156.45,64878.51,104,204,0,1,6,6,2,8232270.94
2023-06-19,LAPTOP001,Laptop Pro,Laptops,75000,82257.09,0.1,74031.38,88494.0,141,63,0,0,6,0,2,10438424.46
2023-06-20,LAPTOP001,Laptop Pro,Laptops,75000,77551.84,0.2,62041.47,72547.29,71,386,0,0,6,1,2,4404944.62
2023-06-21,LAPTOP001,Laptop Pro,Laptops,75000,83236.44,0.15,70750.97,61356.56,114,272,0,0,6,2,2,8065610.8
2023-06-22,LAPTOP001,Laptop Pro,Laptops,75000,72220.43,0.0,72220.43,84316.6,131,141,0,0,6,3,2,9460875.77
2023-06-23,LAPTOP001,Laptop Pro,Laptops,75000,67134.38,0.15,57064.22,77823.92,135,279,0,0,6,4,2,7703670.11
2023-06-24,LAPTOP001,Laptop Pro,Laptops,75000,85573.07,0.05,81294.42,85263.57,123,156,0,1,6,5,2,9999213.69
2023-06-25,LAPTOP001,Laptop Pro,Laptops,75000,74295.6,0.15,63151.26,72444.59,145,366,0,1,6,6,2,9156932.22
2023-06-26,LAPTOP001,Laptop Pro,Laptops,75000,65018.45,0.0,65018.45,85941.67,158,208,0,0,6,0,2,10272914.89
2023-06-27,LAPTOP001,Laptop Pro,Laptops,75000,86243.65,0.05,81931.47,89899.11,99,109,0,0,6,1,2,8111215.06
2023-06-28,LAPTOP001,Laptop Pro,Laptops,75000,81052.22,0.1,72947.0,88342.97,120,315,0,0,6,2,2,8753639.42
2023-06-29,LAPTOP001,Laptop Pro,Laptops,75000,69315.33,0.0,69315.33,73516.32,105,210,0,0,6,3,2,7278109.89
2023-06-30,LAPTOP001,Laptop Pro,Laptops,75000,85216.15,0.0,85216.15,78185.24,69,141,0,0,6,4,2,5879914.22
2023-07-01,LAPTOP001,Laptop Pro,Laptops,75000,78863.27,0.0,78863.27,78543.85,100,216,0,1,7,5,3,7886326.54
2023-07-02,LAPTOP001,Laptop Pro,Laptops,75000,66305.05,0.0,66305.05,80147.2,156,60,0,1,7,6,3,10343587.15
2023-07-03,LAPTOP001,Laptop Pro,Laptops,75000,81127.16,0.0,81127.16,75604.91,66,350,0,0,7,0,3,5354392.81
2023-07-04,LAPTOP001,Laptop Pro,Laptops,75000,76167.9,0.1,68551.11,76828.14,165,185,0,0,7,1,3,11310933.73
2023-07-05,LAPTOP001,Laptop Pro,Laptops,75000,72828.36,0.0,72828.36,64020.46,84,101,0,0,7,2,3,6117582.62
2023-07-06,LAPTOP001,Laptop Pro,Laptops,75000,80740.59,0.1,72666.53,78609.29,107,256,0,0,7,3,3,7775318.65
2023-07-07,LAPTOP001,Laptop Pro,Laptops,75000,68541.69,0.0,68541.69,64091.14,96,160,0,0,7,4,3,6580002.59
2023-07-08,LAPTOP001,Laptop Pro,Laptops,75000,71638.22,0.0,71638.22,77697.53,125,381,0,1,7,5,3,8954777.51
2023-07-09,LAPTOP001,Laptop Pro,Laptops,75000,73593.19,0.15,62554.21,87124.76,225,156,0,1,7,6,3,14074696.77
2023-07-10,LAPTOP001,Laptop Pro,Laptops,75000,75314.76,0.0,75314.76,83509.59,100,56,0,0,7,0,3,7531476.35
2023-07-11,LAPTOP001,Laptop Pro,Laptops,75000,77746.95,0.0,77746.95,85870.91,63,217,0,0,7,1,3,4898057.9
2023-07-12,LAPTOP001,Laptop Pro,Laptops,75000,67059.15,0.0,67059.15,87797.63,136,81,0,0,7,2,3,9120044.85
2023-07-13,LAPTOP001,Laptop Pro,Laptops,75000,69560.5,0.2,55648.4,73774.07,92,284,0,0,7,3,3,5119652.71
2023-07-14,LAPTOP001,Laptop Pro,Laptops,75000,74833.91,0.0,74833.91,69862.55,100,184,0,0,7,4,3,7483390.71
2023-07-15,LAPTOP001,Laptop Pro,Laptops,75000,69153.28,0.1,62237.95,62275.9,163,260,0,1,7,5,3,10144785.65
2023-07-16,LAPTOP001,Laptop Pro,Laptops,75000,66631.03,0.0,66631.03,64557.08,124,136,0,1,7,6,3,8262247.89
